Isolate,Cluster
YJS8374,Wine 3
YJS8375,Wine 1
YJS8376,Wine 3
YJS8377,Wine 3
YJS8378,Wine 3
YJS8379,Wine 3
YJS8380,Wine 3
YJS8381,Wine 3
YJS8383,Wine 3
YJS8384,Wine 3
YJS8385,Wine 3
YJS8386,Wine 3
YJS8387,Wine 3
YJS8388,Wine 3
YJS8389,Wine 3
YJS8390,Wine 3
YJS8391,Wine 3
YJS8392,Wine 3
YJS8393,Wine 3
YJS8395,Wine 3
YJS8396,Wine 3
YJS8397,Wine 3
YJS8398,Wine 3
YJS8399,Wine 3
YJS8400,Wine 3
YJS8401,Wine 3
YJS8402,Wine 3
YJS8403,Wine 3
YJS8404,Wine 3
YJS8405,Wine 3
YJS8406,Wine 3
YJS8407,Wine 3
YJS8408,Wine 3
YJS8409,Wine 3
YJS8410,Wine 3
YJS8411,Wine 3
YJS8412,NA
YJS8413,Wine 1
YJS8414,Wine 3
YJS8415,Wine 3
YJS8416,Wine 3
YJS8418,Wine 3
YJS8419,Wine 3
YJS8420,Wine 3
YJS8421,Wine 3
YJS8422,Wine 3
YJS8423,Wine 3
YJS8424,Wine 3
YJS8425,Wine 3
YJS8426,Wine 3
YJS8427,Wine 3
YJS8428,Wine 3
YJS8429,Wine 3
YJS8430,Wine 3
YJS8431,Wine 3
YJS8432,Wine 3
YJS8433,Wine 3
YJS8435,Wine 3
YJS8436,Wine 3
YJS8437,Wine 3
YJS8438,Wine 3
YJS8439,Wine 3
YJS8440,Wine 3
YJS8441,Wine 1
YJS8442,Wine 1
YJS8443,Wine 3
YJS8444,Wine 3
YJS8445,Beer
YJS8446,Beer
YJS8447,NA
YJS8448,Beer
YJS8449,Triploid group admixed W3/K
YJS8450,Wine 3
YJS8451,Wine 3
YJS8452,Wine 3
YJS8453,Wine 3
YJS8454,Wine 3
YJS8455,Wine 3
YJS8456,Wine 3
YJS8457,Triploid group admixed W3/K
YJS8458,Wine 3
YJS8459,Wine 3
YJS8460,Wine 3
YJS8461,Wine 3
YJS8462,Triploid group admixed W3/K
YJS8463,Wine 1
YJS8464,NA
YJS8465,Beer
YJS8466,Beer
YJS8467,Wine 3
YJS8468,Wine 3
YJS8469,Wine 3
YJS8470,Wine 3
YJS8471,Wine 3
YJS8472,Wine 3
YJS8473,Wine 3
YJS8474,Wine 3
YJS8633,Kombucha
YJS8476,Wine 3
YJS8477,Wine 3
YJS8478,Wine 3
YJS8479,Wine 3
YJS8480,Wine 3
YJS8481,Triploid group admixed W3/K
YJS8482,NA
YJS8483,Wine 3
YJS8484,Wine 3
YJS8485,Wine 3
YJS8486,Wine 3
YJS8487,Wine 3
YJS8636,Kombucha
YJS8489,Wine 3
YJS8490,Wine 3
YJS8491,Wine 1
YJS8492,Wine 3
YJS8493,Wine 1
YJS8494,Wine 1
YJS8495,Wine 1
YJS8496,Wine 3
YJS8497,Wine 3
YJS8498,Wine 3
YJS8499,Wine 3
YJS8500,Beer
YJS8501,NA
YJS8502,Beer
YJS8503,Beer
YJS8504,Beer
YJS8505,Beer
YJS8506,Beer
YJS8507,Beer
YJS8508,Beer
YJS8509,Beer
YJS8510,Beer
YJS8511,Beer
YJS8512,Wine 1
YJS8513,Wine 1
YJS8514,Wine 3
YJS8515,Beer
YJS8516,Beer
YJS8517,Wine 3
YJS8518,Wine 1
YJS8519,Wine 3
YJS8520,Beer
YJS8521,Wine 3
YJS8522,Wine 3
YJS8523,Wine 3
YJS8524,Wine 3
YJS8525,Wine 3
YJS8526,Wine 3
YJS8527,Wine 3
YJS8528,Wine 3
YJS8529,Wine 3
YJS8530,Wine 3
YJS8531,Wine 3
YJS8532,Wine 3
YJS8533,Wine 3
YJS8534,Wine 3
YJS8535,Wine 3
YJS8536,Wine 3
YJS8537,Wine 3
YJS8538,Wine 3
YJS8539,Wine 3
YJS8540,Wine 3
YJS8541,Wine 3
YJS8542,Wine 3
YJS8543,Wine 3
YJS8544,Wine 3
YJS8545,Wine 3
YJS8546,Wine 3
YJS8547,Wine 3
YJS8548,Wine 3
YJS8549,Wine 3
YJS8550,Wine 3
YJS8551,Wine 3
YJS8552,Beer
YJS8553,Beer
YJS8554,Beer
YJS8555,NA
YJS8556,Wine 3
YJS8557,Wine 3
YJS8558,Beer
YJS8559,Beer
YJS8560,Wine 1
YJS8561,Wine 3
YJS8562,Wine 3
YJS8563,Wine 3
YJS8564,Wine 3
YJS8565,Wine 1
YJS8566,Wine 1
YJS8567,Wine 3
YJS8568,Wine 3
YJS8569,Wine 3
YJS8570,Wine 3
YJS8571,Wine 3
YJS8572,Wine 3
YJS8573,Wine 3
YJS8574,Wine 3
YJS8575,Wine 3
YJS8576,Wine 1
YJS8577,Wine 1
YJS8578,Wine 1
YJS8579,Wine 1
YJS8580,Wine 1
YJS8581,Wine 1
YJS8582,Wine 3
YJS8583,Wine 3
YJS8584,Wine 3
YJS8585,Wine 3
YJS8586,Wine 3
YJS8587,Wine 3
YJS8588,Wine 3
YJS8589,Wine 3
YJS8590,Wine 3
YJS8591,Wine 3
YJS8592,Wine 3
YJS8593,Wine 3
YJS8594,Wine 3
YJS8595,Wine 3
YJS8596,Beer
YJS8597,NA
YJS8598,Beer
YJS8599,Beer
YJS8600,Beer
YJS8601,Beer
YJS8602,Beer
YJS8603,Wine 3
YJS8604,Wine 3
YJS8605,Beer
YJS8606,Beer
YJS8607,Wine 3
YJS8608,Wine 1
YJS8609,Wine 3
YJS8610,Wine 3
YJS8611,Wine 3
YJS8612,Wine 3
YJS8613,Beer
YJS8614,Wine 3
YJS8640,Kombucha
YJS8616,Wine 3
YJS8617,Wine 1
YJS8618,Wine 3
YJS8619,Wine 1
YJS8620,Wine 3
YJS8641,Kombucha
YJS8662,Kombucha
YJS8721,Kombucha
YJS8722,Kombucha
YJS8735,Kombucha
YJS8626,Wine 3
YJS8753,Kombucha
YJS8628,Wine 3
YJS8629,Wine 3
YJS8630,Wine 3
YJS8631,Wine 3
YJS8632,Wine 3
YJS8304,Admixed
YJS8305,Admixed
YJS8635,Wine 3
YJS7921,Admixed
YJS8637,Wine 3
YJS8638,NA
YJS8639,Wine 3
YJS8013,Admixed
YJS8104,Admixed
YJS8642,Wine 3
YJS8643,Wine 3
YJS8644,Wine 3
YJS8645,Wine 3
YJS8646,Wine 3
YJS8647,Wine 3
YJS8648,Wine 3
YJS8649,Wine 3
YJS8650,Wine 3
YJS8651,Wine 3
YJS8652,Wine 3
YJS8653,Beer
YJS8654,Beer
YJS8655,Wine 3
YJS8656,Wine 3
YJS8657,Beer
YJS8658,Beer
YJS8660,Beer
YJS8661,Wine 3
YJS8109,Admixed
YJS8663,Wine 3
YJS8664,Beer
YJS8665,Beer
YJS8666,Wine 3
YJS8667,Wine 3
YJS8668,Beer
YJS8669,Wine 3
YJS8670,Wine 3
YJS8671,Wine 1
YJS8672,Wine 3
YJS8673,Wine 3
YJS8674,Wine 1
YJS8675,Wine 1
YJS8676,Wine 3
YJS8677,Wine 3
YJS8678,Wine 3
YJS8679,Wine 1
YJS8680,Wine 1
YJS8681,Beer
YJS8682,Wine 1
YJS8683,Wine 3
YJS8684,Wine 3
YJS8685,Wine 3
YJS8686,Wine 3
YJS8687,Wine 1
YJS8688,Wine 3
YJS8689,Beer
YJS8690,Beer
YJS8691,Beer
YJS8692,Beer
YJS8693,Beer
YJS8694,Wine 1
YJS8695,Triploid group admixed W3/K
YJS8696,Beer
YJS8697,Beer
YJS8698,Beer
YJS8699,Beer
YJS8700,Beer
YJS8701,Beer
YJS8702,Admixed
YJS8703,Wine 1
YJS8704,Wine 3
YJS8705,Wine 3
YJS8706,Wine 3
YJS8707,Wine 3
YJS8708,Wine 1
YJS8709,Wine 1
YJS8710,Beer
YJS8711,Beer
YJS8712,Beer
YJS8713,NA
YJS8714,Wine 1
YJS8715,Wine 1
YJS8716,Admixed
YJS8717,Admixed
YJS8718,Admixed
YJS8719,Wine 1
YJS8720,Wine 1
YJS8114,Admixed
YJS8118,Admixed
YJS8723,Beer
YJS8724,Wine 3
YJS8725,Wine 3
YJS8726,Wine 3
YJS8727,Triploid group admixed W3/K
YJS8728,Triploid group admixed W3/K
YJS8729,Triploid group admixed W3/K
YJS8730,Triploid group admixed W3/K
YJS8731,Triploid group admixed W3/K
YJS8732,Triploid group admixed W3/K
YJS8733,Wine 3
YJS8734,Beer
YJS8285,Admixed
YJS8736,Triploid group admixed W3/K
YJS8737,Triploid group admixed W3/K
YJS8738,Wine 3
YJS8739,Wine 3
YJS8740,Wine 3
YJS8741,Wine 1
YJS8742,Wine 1
YJS8743,Wine 1
YJS8744,Wine 1
YJS8745,NA
YJS8746,Wine 1
YJS8747,NA
YJS8748,Triploid group admixed W3/K
YJS8749,Triploid group admixed W3/K
YJS8750,Wine 1
YJS8751,Wine 1
YJS8752,Beer
YJS8634,Admixed
YJS8754,Wine 3
YJS8755,Admixed
YJS8756,Wine 1
YJS8757,Wine 1
YJS8758,Admixed
YJS8759,Wine 1
YJS8760,Wine 1
YJS8761,Wine 1
YJS8762,Wine 3
YJS8763,Wine 3
YJS8765,Wine 3
YJS8766,Wine 3
YJS8767,Admixed
YJS8768,Wine 1
YJS8769,Admixed
YJS8770,Wine 1
YJS8771,Wine 1
YJS8772,NA
YJS8773,Wine 1
YJS8774,Wine 1
YJS8775,Wine 1
YJS8776,Wine 1
YJS8777,Wine 3
YJS8778,Wine 3
YJS8779,Wine 1
YJS8780,Wine 3
YJS8781,Wine 3
YJS8782,Wine 3
YJS8783,Beer
YJS8784,Wine 1
YJS8785,Wine 3
YJS8786,Wine 3
YJS8787,Wine 1
YJS8788,Beer
YJS8789,Admixed
YJS8790,Admixed
YJS8791,Beer
YJS8792,Wine 3
YJS8793,Beer
YJS8794,Beer
YJS8795,Wine 3
YJS8796,Wine 1
YJS8797,Wine 1
YJS8798,Wine 3
YJS8799,Wine 1
YJS8800,Wine 1
YJS8801,Beer
YJS8802,Wine 1
YJS8803,Wine 1
YJS8804,Wine 1
YJS8805,Wine 1
YJS8806,Wine 1
YJS8807,Beer
YJS8808,Wine 1
YJS8809,Admixed
YJS8810,Beer
YJS8811,Wine 3
YJS8812,Wine 3
YJS8813,Wine 3
YJS8814,Wine 3
YJS8815,Wine 3
YJS8816,Wine 1
YJS8817,Wine 1
YJS8818,Wine 1
YJS8819,Wine 1
YJS8820,Wine 3
YJS8821,Wine 1
YJS8822,Wine 1
YJS8823,Wine 1
YJS8824,NA
YJS8825,NA
YJS8826,Beer
YJS8827,Beer
YJS8828,Wine 3
YJS8829,Beer
YJS8830,Beer
YJS8831,Beer
YJS8832,Wine 1
YJS8833,Beer
YJS8356,Wine 3
YJS8764,Wine 3
YJS8283,Wine 3
YJS8306,Admixed
YJS7942,NA
YJS7951,NA
YJS7964,NA
YJS7927,NA
YJS8066,NA
YJS8309,NA
YJS8015,NA
YJS8155,NA
YJS8157,NA
YJS8188,NA
YJS8164,NA
YJS8166,NA
YJS8171,NA
YJS8175,NA
YJS8190,NA
YJS8196,NA
YJS8197,NA
YJS8198,NA
YJS8199,NA
YJS8178,NA
YJS8215,NA
YJS8344,NA
YJS8434,NA
YJS8249,NA
YJS7832,NA
YJS7837,NA
YJS7991,NA
YJS8333,NA
YJS8334,NA
